id,vehicle_id,route,latitude,longitude,bearing,speed,current_status,occupancy_status,fetched_at
742817,B-548A7B2C,Blue,42.36382,-71.04406,40,,INCOMING_AT,,2026-06-29 21:17:19.077240+00:00
742816,B-548A7B9A,Blue,42.35908,-71.05509,260,,INCOMING_AT,,2026-06-29 21:17:19.077236+00:00
742815,R-548A0004,Red,42.27582,-71.03012,315,,STOPPED_AT,,2026-06-29 21:17:19.077233+00:00
742814,R-548A5D6F,Red,42.20749,-71.00156,10,,STOPPED_AT,,2026-06-29 21:17:19.077231+00:00
742813,R-548A5F51,Red,42.3959,-71.12199,135,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077227+00:00
742812,R-548A6272,Red,42.3962,-71.13938,265,,INCOMING_AT,,2026-06-29 21:17:19.077223+00:00
742811,R-548A6553,Red,42.20749,-71.00173,190,,STOPPED_AT,,2026-06-29 21:17:19.077219+00:00
742810,R-548A695C,Red,42.35993,-71.06835,130,,INCOMING_AT,,2026-06-29 21:17:19.077217+00:00
742809,R-548A6AB3,Red,42.39621,-71.14054,85,,STOPPED_AT,,2026-06-29 21:17:19.077213+00:00
742808,R-548A6C54,Red,42.35526,-71.06016,310,,STOPPED_AT,,2026-06-29 21:17:19.077210+00:00
742807,R-548A6D6F,Red,42.24615,-71.00369,15,,INCOMING_AT,,2026-06-29 21:17:19.077207+00:00
742806,R-548A6DE2,Red,42.3243,-71.05398,310,,INCOMING_AT,,2026-06-29 21:17:19.077204+00:00
742805,R-548A7316,Red,42.35792,-71.06548,310,,INCOMING_AT,,2026-06-29 21:17:19.077201+00:00
742804,R-548A74A7,Red,42.28458,-71.06377,330,,STOPPED_AT,,2026-06-29 21:17:19.077197+00:00
742803,R-548A74A8,Red,42.37293,-71.11652,350,,INCOMING_AT,,2026-06-29 21:17:19.077195+00:00
742802,R-548A75C9,Red,42.28577,-71.03887,135,,INCOMING_AT,,2026-06-29 21:17:19.077192+00:00
742801,R-548A7856,Red,42.35524,-71.06018,135,,STOPPED_AT,,2026-06-29 21:17:19.077189+00:00
742800,R-548A78B0,Red,42.28456,-71.06382,150,,STOPPED_AT,,2026-06-29 21:17:19.077186+00:00
742799,R-548A78B1,Red,42.35252,-71.05533,130,,STOPPED_AT,,2026-06-29 21:17:19.077183+00:00
742798,R-548A78EC,Red,42.36393,-71.10155,130,,INCOMING_AT,,2026-06-29 21:17:19.077181+00:00
742797,R-548A7922,Red,42.30029,-71.05826,85,,IN_TRANSIT_TO,,2026-06-29 21:17:19.077178+00:00
742796,R-548A7BB1,Red,42.37529,-71.11887,185,,INCOMING_AT,,2026-06-29 21:17:19.077170+00:00
742795,B-548A672A,Blue,42.36122,-71.0631,135,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224454+00:00
742794,B-548A78A6,Blue,42.35957,-71.05163,260,,STOPPED_AT,,2026-06-29 20:17:29.224451+00:00
742793,B-548A78BA,Blue,42.39043,-70.99727,220,,STOPPED_AT,,2026-06-29 20:17:29.224449+00:00
742792,B-548A78C4,Blue,42.4125,-70.99217,195,,INCOMING_AT,,2026-06-29 20:17:29.224447+00:00
742791,B-548A78CA,Blue,42.41512,-70.99082,200,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224444+00:00
742790,B-548A78E4,Blue,42.35949,-71.05969,150,,STOPPED_AT,,2026-06-29 20:17:29.224442+00:00
742789,B-548A7AC4,Blue,42.37538,-71.02905,45,,INCOMING_AT,,2026-06-29 20:17:29.224439+00:00
742788,B-548A7AD6,Blue,42.3728,-71.03215,225,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224436+00:00
742787,B-548A7AD8,Blue,42.36382,-71.04406,40,,INCOMING_AT,,2026-06-29 20:17:29.224434+00:00
742786,B-548A7B11,Blue,42.35948,-71.05966,330,,STOPPED_AT,,2026-06-29 20:17:29.224431+00:00
742785,B-548A7B2C,Blue,42.39066,-70.99699,35,,STOPPED_AT,,2026-06-29 20:17:29.224429+00:00
742784,G-10008,Green-E,42.35245,-71.06483,20,,STOPPED_AT,,2026-06-29 20:17:29.224426+00:00
742783,G-10014,Green-E,42.36574,-71.06466,300,,INCOMING_AT,,2026-06-29 20:17:29.224424+00:00
742782,G-10015,Green-E,42.34293,-71.0847,45,,INCOMING_AT,,2026-06-29 20:17:29.224421+00:00
742781,G-10031,Green-E,42.33478,-71.10324,45,4.7,STOPPED_AT,,2026-06-29 20:17:29.224418+00:00
742780,G-10033,Green-E,42.38977,-71.10103,120,18.0,INCOMING_AT,,2026-06-29 20:17:29.224416+00:00
742779,G-10040,Green-E,42.34256,-71.08524,225,,INCOMING_AT,,2026-06-29 20:17:29.224414+00:00
742778,G-10054,Green-E,42.40839,-71.1173,151,,STOPPED_AT,,2026-06-29 20:17:29.224411+00:00
742777,G-10095,Green-E,42.40839,-71.1173,151,,STOPPED_AT,,2026-06-29 20:17:29.224408+00:00
742776,G-10099,Green-E,42.32825,-71.11032,45,3.3,STOPPED_AT,,2026-06-29 20:17:29.224406+00:00
742775,G-10106,Green-E,42.40839,-71.1173,151,4.3,STOPPED_AT,,2026-06-29 20:17:29.224403+00:00
742774,G-10113,Green-E,42.37276,-71.07906,125,12.9,INCOMING_AT,,2026-06-29 20:17:29.224401+00:00
742773,G-10126,Green-E,42.36976,-71.0737,305,12.0,INCOMING_AT,,2026-06-29 20:17:29.224398+00:00
742772,G-10139,Green-E,42.36234,-71.05804,175,,INCOMING_AT,,2026-06-29 20:17:29.224395+00:00
742771,G-10211,Green-E,42.34046,-71.08873,225,4.4,INCOMING_AT,,2026-06-29 20:17:29.224393+00:00
742770,G-10244,Green-E,42.36633,-71.0669,120,6.4,INCOMING_AT,,2026-06-29 20:17:29.224390+00:00
742769,G-10009,Green-D,42.34233,-71.10926,225,9.7,INCOMING_AT,,2026-06-29 20:17:29.224388+00:00
742768,G-10036,Green-D,42.37705,-71.09396,300,,STOPPED_AT,,2026-06-29 20:17:29.224385+00:00
742767,G-10052,Green-D,42.37399,-71.08044,305,4.6,IN_TRANSIT_TO,,2026-06-29 20:17:29.224382+00:00
742766,G-10080,Green-D,42.3518,-71.07081,60,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224380+00:00
742765,G-10084,Green-D,42.34788,-71.08627,105,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224377+00:00
742764,G-10096,Green-D,42.3384,-71.11158,0,13.0,INCOMING_AT,,2026-06-29 20:17:29.224374+00:00
742763,G-10104,Green-D,42.33423,-71.15086,45,10.1,INCOMING_AT,,2026-06-29 20:17:29.224372+00:00
742762,G-10117,Green-D,42.33723,-71.25208,135,5.0,STOPPED_AT,,2026-06-29 20:17:29.224369+00:00
742761,G-10121,Green-D,42.35929,-71.05951,215,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224367+00:00
742760,G-10124,Green-D,42.33557,-71.14528,270,5.6,INCOMING_AT,,2026-06-29 20:17:29.224364+00:00
742759,G-10140,Green-D,42.36427,-71.05936,135,,INCOMING_AT,,2026-06-29 20:17:29.224361+00:00
742758,G-10180,Green-D,42.32616,-71.23115,135,11.0,INCOMING_AT,,2026-06-29 20:17:29.224359+00:00
742757,G-10200,Green-D,42.32762,-71.17176,135,17.5,INCOMING_AT,,2026-06-29 20:17:29.224357+00:00
742756,G-10238,Green-D,42.36607,-71.061,315,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224353+00:00
742755,G-10255,Green-D,42.35551,-71.06316,30,,STOPPED_AT,,2026-06-29 20:17:29.224351+00:00
742754,G-10270,Green-D,42.34806,-71.08969,270,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224348+00:00
742753,G-10271,Green-D,42.37695,-71.09396,300,,STOPPED_AT,,2026-06-29 20:17:29.224345+00:00
742752,G-10020,Green-C,42.34087,-71.12639,225,4.7,INCOMING_AT,,2026-06-29 20:17:29.224342+00:00
742751,G-10022,Green-C,42.3459,-71.10742,45,4.4,STOPPED_AT,,2026-06-29 20:17:29.224340+00:00
742750,G-10027,Green-C,42.33625,-71.14902,225,4.3,STOPPED_AT,,2026-06-29 20:17:29.224336+00:00
742749,G-10059,Green-C,42.35018,-71.0771,240,,STOPPED_AT,,2026-06-29 20:17:29.224334+00:00
742748,G-10063,Green-C,42.34478,-71.11142,45,4.9,STOPPED_AT,,2026-06-29 20:17:29.224331+00:00
742747,G-10077,Green-C,42.35614,-71.06243,30,,INCOMING_AT,,2026-06-29 20:17:29.224329+00:00
742746,G-10086,Green-C,42.34159,-71.12339,45,6.6,INCOMING_AT,,2026-06-29 20:17:29.224326+00:00
742745,G-10098,Green-C,42.35157,-71.07167,60,,STOPPED_AT,,2026-06-29 20:17:29.224324+00:00
742744,G-10183,Green-C,42.34898,-71.09414,275,,INCOMING_AT,,2026-06-29 20:17:29.224321+00:00
742743,G-10227,Green-C,42.33695,-71.14559,45,5.5,STOPPED_AT,,2026-06-29 20:17:29.224318+00:00
742742,G-10240,Green-C,42.35986,-71.05891,215,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224316+00:00
742741,G-10254,Green-C,42.34595,-71.10749,225,5.5,STOPPED_AT,,2026-06-29 20:17:29.224313+00:00
742740,G-10019,Green-B,42.34018,-71.16709,135,,STOPPED_AT,,2026-06-29 20:17:29.224310+00:00
742739,G-10035,Green-B,42.35065,-71.13047,225,5.4,STOPPED_AT,,2026-06-29 20:17:29.224308+00:00
742738,G-10046,Green-B,42.34254,-71.14386,45,4.3,INCOMING_AT,,2026-06-29 20:17:29.224305+00:00
742737,G-10049,Green-B,42.341,-71.16742,75,2.9,STOPPED_AT,,2026-06-29 20:17:29.224303+00:00
742736,G-10057,Green-B,42.34027,-71.16688,0,2.8,STOPPED_AT,,2026-06-29 20:17:29.224300+00:00
742735,G-10075,Green-B,42.3518,-71.07081,60,,INCOMING_AT,,2026-06-29 20:17:29.224297+00:00
742734,G-10083,Green-B,42.34891,-71.09763,95,6.2,INCOMING_AT,,2026-06-29 20:17:29.224295+00:00
742733,G-10101,Green-B,42.3517,-71.1253,45,4.7,STOPPED_AT,,2026-06-29 20:17:29.224292+00:00
742732,G-10103,Green-B,42.35625,-71.06264,210,,STOPPED_AT,,2026-06-29 20:17:29.224289+00:00
742731,G-10118,Green-B,42.34567,-71.14147,45,4.9,INCOMING_AT,,2026-06-29 20:17:29.224286+00:00
742730,G-10234,Green-B,42.34996,-71.07792,240,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224283+00:00
742729,G-10241,Green-B,42.34984,-71.10503,315,9.3,INCOMING_AT,,2026-06-29 20:17:29.224280+00:00
742728,O-548A700A,Orange,42.35538,-71.06065,205,,STOPPED_AT,,2026-06-29 20:17:29.224277+00:00
742727,O-548A74B4,Orange,42.41595,-71.077,177,,INCOMING_AT,,2026-06-29 20:17:29.224275+00:00
742726,O-548A74B8,Orange,42.34544,-71.07865,220,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224272+00:00
742725,O-548A74BF,Orange,42.3085,-71.10893,210,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224269+00:00
742724,O-548A78A9,Orange,42.43773,-71.07093,5,,STOPPED_AT,,2026-06-29 20:17:29.224267+00:00
742723,O-548A78AA,Orange,42.38425,-71.07695,355,,STOPPED_AT,,2026-06-29 20:17:29.224264+00:00
742722,O-548A78B7,Orange,42.36809,-71.06264,330,,INCOMING_AT,,2026-06-29 20:17:29.224262+00:00
742721,O-548A78BD,Orange,42.35881,-71.05775,355,,STOPPED_AT,,2026-06-29 20:17:29.224259+00:00
742720,O-548A78C3,Orange,42.35235,-71.06259,5,,STOPPED_AT,,2026-06-29 20:17:29.224257+00:00
742719,O-548A78C7,Orange,42.43772,-71.0708,185,,STOPPED_AT,,2026-06-29 20:17:29.224254+00:00
742718,O-548A78D0,Orange,42.31001,-71.10782,30,,STOPPED_AT,,2026-06-29 20:17:29.224251+00:00
742717,O-548A78DA,Orange,42.38868,-71.07707,175,,INCOMING_AT,,2026-06-29 20:17:29.224248+00:00
742716,O-548A78E7,Orange,42.34763,-71.06734,230,,INCOMING_AT,,2026-06-29 20:17:29.224245+00:00
742715,O-548A7AAD,Orange,42.3925,-71.07715,355,,STOPPED_AT,,2026-06-29 20:17:29.224242+00:00
742714,O-548A7B99,Orange,42.32538,-71.09878,10,,INCOMING_AT,,2026-06-29 20:17:29.224239+00:00
742713,O-548A7BA7,Orange,42.30119,-71.11376,30,,STOPPED_AT,,2026-06-29 20:17:29.224237+00:00
742712,O-548A7BBA,Orange,42.37376,-71.07041,120,,STOPPED_AT,,2026-06-29 20:17:29.224233+00:00
742711,B-548A672A,Blue,42.36122,-71.0631,135,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224231+00:00
742710,B-548A78A6,Blue,42.35957,-71.05163,260,,STOPPED_AT,,2026-06-29 20:17:29.224228+00:00
742709,B-548A78BA,Blue,42.39043,-70.99727,220,,STOPPED_AT,,2026-06-29 20:17:29.224226+00:00
742708,B-548A78C4,Blue,42.4125,-70.99217,195,,INCOMING_AT,,2026-06-29 20:17:29.224223+00:00
742707,B-548A78CA,Blue,42.41512,-70.99082,200,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224220+00:00
742706,B-548A78E4,Blue,42.35949,-71.05969,150,,STOPPED_AT,,2026-06-29 20:17:29.224218+00:00
742705,B-548A7AC4,Blue,42.37538,-71.02905,45,,INCOMING_AT,,2026-06-29 20:17:29.224215+00:00
742704,B-548A7AD6,Blue,42.3728,-71.03215,225,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224212+00:00
742703,B-548A7AD8,Blue,42.36382,-71.04406,40,,INCOMING_AT,,2026-06-29 20:17:29.224210+00:00
742702,B-548A7B11,Blue,42.35948,-71.05966,330,,STOPPED_AT,,2026-06-29 20:17:29.224207+00:00
742701,B-548A7B2C,Blue,42.39066,-70.99699,35,,STOPPED_AT,,2026-06-29 20:17:29.224204+00:00
742700,R-548A0004,Red,42.3617,-71.0776,95,,INCOMING_AT,,2026-06-29 20:17:29.224201+00:00
742699,R-548A5D6F,Red,42.39621,-71.14054,85,,STOPPED_AT,,2026-06-29 20:17:29.224199+00:00
742698,R-548A5F51,Red,42.30002,-71.06183,260,,STOPPED_AT,,2026-06-29 20:17:29.224196+00:00
742697,R-548A6272,Red,42.20749,-71.00156,10,,STOPPED_AT,,2026-06-29 20:17:29.224194+00:00
742696,R-548A6553,Red,42.39805,-71.13358,275,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224191+00:00
742695,R-548A695C,Red,42.27315,-71.02737,315,,INCOMING_AT,,2026-06-29 20:17:29.224188+00:00
742694,R-548A6AB3,Red,42.20749,-71.00173,190,,STOPPED_AT,,2026-06-29 20:17:29.224186+00:00
742693,R-548A6C54,Red,42.32705,-71.05787,160,,INCOMING_AT,,2026-06-29 20:17:29.224183+00:00
742692,R-548A6D6F,Red,42.37396,-71.11874,130,,STOPPED_AT,,2026-06-29 20:17:29.224181+00:00
742691,R-548A6DE2,Red,42.35591,-71.06149,130,,INCOMING_AT,,2026-06-29 20:17:29.224178+00:00
742690,R-548A7316,Red,42.36553,-71.10403,130,,STOPPED_AT,,2026-06-29 20:17:29.224176+00:00
742689,R-548A74A7,Red,42.39618,-71.14054,85,,STOPPED_AT,,2026-06-29 20:17:29.224173+00:00
742688,R-548A74A8,Red,42.36122,-71.07162,95,,STOPPED_AT,,2026-06-29 20:17:29.224170+00:00
742687,R-548A75C9,Red,42.3565,-71.06263,310,,STOPPED_AT,,2026-06-29 20:17:29.224167+00:00
742686,R-548A7856,Red,42.33107,-71.057,0,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224164+00:00
742685,R-548A78B0,Red,42.36246,-71.08581,275,,STOPPED_AT,,2026-06-29 20:17:29.224161+00:00
742684,R-548A78B1,Red,42.34273,-71.05707,350,,STOPPED_AT,,2026-06-29 20:17:29.224158+00:00
742683,R-548A78EC,Red,42.29997,-71.06181,80,,STOPPED_AT,,2026-06-29 20:17:29.224155+00:00
742682,R-548A78F4,Red,42.37469,-71.11877,350,,IN_TRANSIT_TO,,2026-06-29 20:17:29.224152+00:00
742681,R-548A7922,Red,42.38826,-71.11895,180,,STOPPED_AT,,2026-06-29 20:17:29.224147+00:00
742680,R-548A7BB1,Red,42.23337,-71.00682,15,,STOPPED_AT,,2026-06-29 20:17:29.224137+00:00
742679,B-548A672A,Blue,42.4135,-70.99162,20,,STOPPED_AT,,2026-06-29 19:43:54.684423+00:00
